Provinces;Ingresos de Origen Nacional;Ingresos de Origen Provincial;Ingresos de Regalías;Ingresos No Tributarios;Ingresos por Vta.Bienes y Serv.de la Adm.Publ.;Ingresos por Rentas de la Propiedad;Ingresos por Transferencias Corrientes;Gastos de Personal;Gastos en Bienes de Consumo;Gastos en Servicios;Gastos en Rentas de la Propiedad
CIUDAD DE BUENOS AIRES;314847.3213;98140.45222;0;7595.440576;3630.378463;3433.297912;7978.240778;226338.9891;19502.90416;86733.0356;34783.9941
BUENOS AIRES;466666.2064;501526.7094;0;7487.258879;1933.145264;2016.702558;164391.7479;584421.5409;24039.42001;47753.44704;41711.44243
"
CATAMARCA ";5832.377521;55441.78919;329.0423929;2725.0817;33.43569675;1423.413935;3101.608008;36048.28792;1479.931491;2215.361871;602.0526547
"
CORDOBA ";113144.8186;182814.7471;0;12656.47669;564.9661201;7159.324187;22241.9427;144393.6786;10204.66101;24983.82523;11953.64353
"
CORRIENTES";11716.53;78694.40261;42.02;588.78;525.52;337.55;6478.811596;52897.39;9886.03;6357.97;822.3202206
"
CHACO ";15054.44722;103865.2181;0;1036.900416;28.13976649;892.7605301;8571.403431;67400.76052;3994.57654;6440.256128;2717.113027
"
CHUBUT ";17831.07802;33561.55433;19303.03734;6293.374807;448.0231086;736.435423;3041.193856;67850.62364;1954.240973;2873.63035;5572.40836
"
ENTRE RIOS ";35737.38;100679.1762;793.62;1543.73;904.62;876.89;13918.26896;82198.31;4364.93;6245.59;3571.520885
"
FORMOSA";4888.945679;75053.96205;87.1783757;638.4027996;335.4630802;534.0401378;5781.786394;36450.10114;6142.781166;5845.274992;623.9880864
"
JUJUY ";7493.231569;58583.98326;98.10646475;903.4713207;213.0541071;171.4217908;8877.148003;43061.12755;2267.071126;2501.004686;3105.271339
"
LA  PAMPA ";14222.86577;39015.33338;787.3346071;12834.63485;0;0;3941.409903;31611.27306;5542.61538;4181.271252;290.7710537
"
LA  RIOJA ";3550.753189;42161.29086;0;54.65034569;417.2009144;1019.737759;2512.860664;25925.61455;3336.737434;3741.169175;1767.571284
"
MENDOZA ";48202.41;85848.11877;8072.43;12461.32058;2362.14;1208.936007;7439.07622;87469.41697;6720.666775;13766.2069;5970.718447
"
MISIONES ";33735.2412;70315.31024;965.9682368;1139.929234;0;1691.20873;11276.09116;47270.38765;2616.244261;5781.761601;704.3861577
"
NEUQUEN  ";37954.41423;36871.31053;35681.72507;16966.80449;6267.30632;3489.81343;3098.745459;92442.70157;7032.91711;8844.630109;7366.349615
"
RIO NEGRO ";18433.99723;51989.65944;5885.515788;2606.126119;251.657168;126.874883;3521.675642;54852.7066;3966.604949;4430.211144;3533.80504
"
SALTA ";23345.68159;81082.32377;2073.316481;1472.435451;48.89300502;1122.012698;6564.489008;71374.24721;2176.530474;6133.965312;3401.736263
"
SAN  JUAN ";11135.55329;68789.75164;1902.74528;2555.225131;444.5933023;5299.80158;3464.094212;41132.59981;1851.110767;13574.81229;1202.384064
"
SAN  LUIS ";12935.13162;46196.73696;0;355.7020584;110.5248821;180.9200983;2287.348765;30476.01911;1671.760427;2162.173444;58.2207093
"
SANTA  CRUZ ";12527.67947;33044.17026;15631.78327;2264.369718;1016.446308;344.8506895;4814.89436;35646.65545;1257.645704;2112.550354;830.7847255
"
SANTA  FE";103002.1117;188003.723;0;3543.83;2384.6;5224.96;25382.64585;149723.6972;9356.315691;18018.90539;4588.97943
"
SANTIAGO  DEL  ESTERO ";9505.827555;85401.68462;1.988084889;1092.064;35.64427289;4540.17;5239.392877;31932.46231;2148.59254;5253.914719;694.3992138
"
TUCUMAN ";36723.684;98156.05605;0;3631.707;5.504;11.646;13250.07899;90370.686;3906.672;5905.751;2831.93579
"
TIERRA  DEL  FUEGO ";9084.92022;25412.0729;3114.293613;4563.845019;251.7577173;309.6985739;1429.100656;23499.19196;968.5490793;2507.772;1726.895667
